query_id,answer
91,4308 4219 4234 4214 2646 2511 4396 4387 4133 1951
92,4234 4328 4214 4219 1951 4218 2698 4286 3467 1909
93,4387 4219 2646 4400 4384 2865 4308 1958 4285 4395
94,3147 3261 4110 4451 2062 3260 4411 4219 4387 4214
95,1951 3467 4328 4234 4286 4308 4396 4214 4320 1909
96,4219 4400 1958 4384 4387 1966 2646 4234 2865 2831
97,2646 4400 1966 4403 4219 1958 4387 4234 2865 4308
98,1951 4234 4214 4328 4320 4219 4308 3467 4396 2949
99,2646 4219 4387 4400 4361 1958 4234 4384 1966 4440
100,4328 4396 4286 4234 1951 4308 3467 4214 1907 2948
101,4219 2646 4400 1966 4384 2865 4361 4308 2831 4234
102,4451 4214 2698 4395 4219 4361 2794 4243 3150 3995
103,4219 2646 4389 4384 4308 4440 4396 3565 4394 4234
104,4219 4384 2646 4400 1966 2865 4389 4387 4440 1958
105,4219 2646 4384 4308 4234 4440 4361 4400 1966 4395
106,4219 2646 4384 4234 4361 4308 4440 4389 2831 4395
107,1909 4286 4234 4328 4396 3843 4219 1907 4308 4361
108,4219 2646 4234 4308 1951 4400 4384 4361 4389 4286
109,4219 2646 4234 4361 4308 1966 4328 1909 4396 4384
110,4219 4308 2646 4234 2511 4361 4400 4389 4384 4328
111,4219 2646 4361 4234 4308 4384 4389 2865 4233 4440
112,4219 4400 2865 2646 1966 4384 4389 4440 2831 3932
113,1951 4234 4214 4219 4396 4308 4328 3265 2646 1909
114,4395 4219 2646 4389 4214 2865 4440 4234 4387 4384
115,4395 4424 4451 4454 4214 1909 4234 2949 2665 2698
116,4219 2646 4308 4389 4384 4361 4440 4403 2943 4400
117,1909 4234 4396 4328 4286 4308 1951 1899 1958 1907
118,4440 4219 4389 2646 4384 3565 4395 3843 4285 4361
119,4219 2646 4308 4234 4384 4328 1951 4214 1966 4396
120,4219 4440 4361 2943 2646 4384 4389 1966 4234 2171
121,4219 4440 2646 4384 2865 4389 1966 4400 3078 4313
122,4451 4214 2698 1951 4234 4219 3478 4286 4395 2095
123,4219 2646 4400 4361 2865 4234 4387 4308 4384 1966
124,1909 4400 4396 4219 4328 4361 4308 4234 4286 4387
125,4219 4440 4387 4384 4389 2646 1958 2865 4361 2663
126,4328 4234 4396 1909 4308 4286 1951 1907 4361 4045
127,4361 4219 2646 4234 4384 1966 2865 4308 4214 4400
128,4219 2646 4400 1966 4384 2865 4361 2831 2943 4234
129,4219 4234 4400 4286 4308 4396 4328 1907 1909 2646
130,4219 4234 2646 2865 4361 1951 4308 4384 4400 1966
131,4440 4384 3128 4219 2894 4389 3254 2886 4202 4395
132,3261 2068 4332 3147 3129 4292 4419 2646 4234 4274
133,4308 4234 4361 1958 4214 2698 2646 4387 4403 1951
134,4328 4234 1909 4396 4308 4286 4219 4178 4133 3889
135,4387 4219 2646 4384 4400 2865 1958 4361 4285 4395
136,4219 2646 1966 4384 4400 2865 4361 3470 4234 2696
137,1909 4219 4234 4308 4214 4361 4396 2646 2698 2943
138,3147 3261 4205 2062 2060 4110 2061 4440 4127 2857
139,4219 2646 4308 4384 4234 4214 1951 4396 2943 4328
140,4395 4389 4219 2646 4214 1966 2865 4440 4387 4384
141,4234 1909 4387 4219 4308 1907 4328 4361 3995 4214
142,4219 2865 2646 1966 4400 4387 4361 4384 1958 4218
143,1951 4308 4320 4214 4219 4234 3861 4361 3467 2646
144,4219 4389 4440 2646 3565 4308 4384 4361 4396 4234
145,4234 4214 2698 4286 1951 4396 4308 4362 1901 4328
146,4286 1951 4219 2646 1958 4387 4234 3265 4214 4361
147,4219 2646 1966 4387 4384 4440 2865 4400 1958 4389
148,4219 2865 2646 1966 4384 4400 2831 4361 4234 3844
149,4219 2865 2646 4400 1966 4384 1958 4361 2831 4234
150,4219 4283 4134 4234 4127 4445 4321 4328 4214 4286
151,2646 4400 4219 2865 1966 4384 4403 4361 4387 2831
152,4219 4387 2646 4361 4384 1966 4440 2865 1958 4308
153,1907 4328 1909 4396 4286 4234 4308 4361 3467 4400
154,4328 4396 4286 4234 1907 1909 3436 4308 3467 4400
155,4400 4403 2646 4219 1966 4234 2865 4387 4308 1958
156,2865 4219 1966 2646 4400 4384 4403 4234 4387 4308
157,4219 4400 2646 4384 1966 4440 2865 4387 2831 4361
158,1951 4214 4234 4308 4320 2698 2665 3467 4328 4286
159,4219 2646 4384 1966 4440 2865 4400 1958 4361 2943
160,1909 4234 4328 4396 4308 4219 4286 4361 3889 4400
161,2665 4214 2698 4219 2646 2943 2511 4234 1951 4308
162,4219 2865 1966 2646 4384 4400 4218 4361 4234 1951
163,1951 4234 4286 4214 4396 4328 2698 4320 4308 1909
164,4400 4234 4219 2646 2865 3006 1966 2795 4395 2661
165,4219 2646 1966 4440 2865 4384 4361 3470 3078 4389
166,4234 4308 1909 3467 1951 2698 4286 4214 4362 4219
167,4219 2865 4400 1966 2646 4387 4384 4234 2831 4403
168,1951 4234 4403 2698 1907 4286 4361 4532 4219 2646
169,4219 2865 4400 2646 1966 4361 4234 4403 4384 4387
170,4387 1958 4219 2646 4400 4361 4234 4384 2865 1966
171,4440 4219 4389 4395 4276 2646 2222 2894 4008 4384
172,4219 2646 4384 4361 4389 4440 4234 4308 4285 1951
173,4440 2886 2894 4389 3128 3254 4219 2646 4361 2696
174,1907 1909 4234 4396 4308 4214 1951 2831 4328 4403
175,4451 4214 2698 4276 2095 4395 4440 4209 2665 3314
176,4440 4219 4389 2646 4361 4308 4234 3565 2943 4384
177,1951 4214 4308 4219 2646 3128 4328 4320 4396 4234
178,1951 4320 3467 4214 4308 4321 4328 2698 4234 3862
179,4423 3028 4364 4232 4372 4318 4220 4307 2914 4234
180,4389 2646 4219 4308 3565 4440 4384 4214 4245 4344
181,4219 4389 2646 4440 3565 4285 4384 4308 3843 4234
182,4219 2646 4389 4440 4234 4361 1909 4384 2865 4286
183,1951 4214 3467 4320 4234 4328 2698 3861 4286 4308
184,4219 2865 1966 2646 4400 4361 4384 4406 3844 4234
185,1951 4214 4320 4308 3128 4234 3467 4328 2698 4286
186,4440 3254 4389 4395 2886 4219 2894 3128 4384 2198
187,4400 2831 4219 2865 2646 4403 1966 4234 4384 4308
188,4219 4400 2865 4234 2646 1966 2831 4384 4361 4387
189,4219 4400 2646 2865 4387 4234 1966 2831 4009 4384
190,4361 4204 1951 2095 3580 4234 4219 4276 3467 4214
191,1951 4234 4532 4214 2698 4219 4400 4361 2646 4328
192,4328 4286 4234 4396 4387 1909 4219 1951 1907 2646
193,4403 4400 4219 1958 4387 2646 1966 4234 4384 2865
194,1951 3467 4234 4286 4320 4396 4328 1907 4308 4214
195,4395 4214 4219 2646 4389 4424 4387 2105 2665 3026
196,4219 4387 2646 4384 4400 2865 1966 4361 1958 4257
197,4219 4389 2646 3565 4308 4361 4384 4440 2943 4307
198,1951 4214 3128 4320 4234 3467 4361 4286 2075 2698
199,4219 4361 2646 4234 2865 1966 4384 3844 4387 4406
200,4219 4400 1966 2646 2865 4440 4384 4387 4395 4403
201,4400 4219 2646 2865 4387 1958 2204 4403 4384 2203
202,4219 4440 2646 4389 4384 4308 3565 4361 2943 4396
203,4219 2646 4387 4384 1966 4400 2865 4440 4395 1958
204,1909 4234 4328 4396 4308 4219 4286 2646 1951 4320
205,4234 4219 4361 2646 4440 1951 2865 2943 4384 4214
206,4308 4361 4219 4403 2646 4234 4387 2943 4396 4389
207,4219 2646 4214 4395 4424 2665 4389 2943 3026 2511
208,4219 2865 4387 2646 4384 4400 1958 4440 1909 2511
209,1951 4234 2943 4214 2646 4219 2866 4286 4361 4308
210,4234 1909 4361 4219 4400 4328 2943 2646 2831 1951
211,4219 2646 1966 4400 4384 2865 4361 4387 4005 4234
212,4328 4286 4396 4234 1951 1909 1907 2949 4214 2698
213,4219 4440 4389 3565 2646 4384 1966 4308 2865 4313
214,4395 4219 2646 4214 4384 4400 1966 2865 4424 4389
215,4234 1909 4328 4219 4396 4286 4308 4403 4400 4361
216,4440 4332 2255 2695 2661 2222 4234 4389 3128 4451
217,4214 2698 4451 4219 2646 4366 4308 2665 4234 4361
218,4219 2646 4440 4384 4389 4361 4387 4009 2944 4403
219,4219 2646 4389 4308 4384 4361 4234 4440 3565 4400
220,4440 4389 3254 3128 4219 4395 4276 2886 2894 2222
221,4389 4440 4219 3565 2646 4384 4285 4396 4308 2943
222,1951 4234 3467 4328 1907 1909 4396 4286 2698 4320
223,4219 4389 2646 4440 4384 4308 4257 3565 4285 4234
224,4400 4219 4387 1966 2831 2646 2865 4234 4384 2062
225,4219 4361 4440 4371 4364 4309 2646 4307 4318 4308
226,4372 2908 4423 4318 3932 2204 4307 4234 4237 4364
227,4328 4286 4396 1909 4234 1907 3467 1951 4308 3436
228,4219 2646 4400 2865 1966 2831 4384 4361 4234 4403
229,4219 1966 2646 4387 1958 4400 4384 2865 4440 4361
230,4400 4219 4387 1958 4234 4361 2865 2646 4384 1966
231,4328 4396 4234 1951 4286 4308 1909 4219 1907 4362
232,4219 4387 2646 2865 1966 4384 4400 1958 4403 4234
233,1951 4234 4532 4214 2698 3467 3643 3995 3128 4396
234,4308 4219 4387 2646 4361 4234 4396 4403 4440 4384
235,4219 4387 2646 4384 2865 1966 4400 1958 3088 4361
236,4219 2646 4400 2865 1966 4384 4387 2943 4361 3168
237,1909 4396 3265 4219 4234 2646 4308 4328 1951 1958
238,4328 4234 4396 1909 4308 4286 4321 1951 4133 4400
239,4423 4364 4232 4318 4372 3028 4307 2937 4363 3737
240,4328 4286 4396 4234 1907 1951 1901 4214 4387 3128
241,4396 1907 4234 4328 1951 4286 4308 4219 1909 3467
242,4308 4219 4234 4328 4214 2698 4396 4286 1909 3467
243,4361 4219 4440 3844 4395 4384 4406 4389 4387 1966
244,1951 4320 4214 3467 4308 4234 4409 2244 3128 4328
245,4219 4387 2646 4384 2865 1966 4400 4395 1958 4234
246,4219 2865 4400 2646 1966 4384 4234 4403 4361 2831
247,4219 2646 4387 2865 4384 4361 1966 4400 2943 2521
248,4440 3254 4005 2222 2695 2886 2894 2661 4283 2243
249,4219 1966 4384 2646 4387 2865 4400 4361 3470 3078
250,1951 4308 4234 4214 4219 4320 3467 2646 3128 4286
251,4219 4400 4384 4387 1966 2646 2865 4396 4328 4286
252,4440 3254 2894 2886 4389 4219 2892 2646 4332 4395
253,4396 4328 4234 1909 4308 4286 4331 4219 2943 1873
254,1951 4214 4361 3467 4320 4219 4234 3261 4205 4328
255,1909 4219 4328 4308 4400 1958 4234 4387 4403 2646
256,4219 4400 2865 1966 2646 4384 4387 4308 4403 4361
257,4234 4328 4286 3995 2295 4276 4224 2670 2197 2251
258,4234 4308 4320 1909 4214 2665 4328 1951 2646 2698
259,4219 2865 4400 2646 1966 4384 4234 4387 2943 4403
260,1951 4234 3467 4328 4286 4214 4320 4361 1909 4218
261,4219 4400 4387 2646 2865 4361 4384 1966 2511 1958
262,4234 1951 4286 4361 4396 4328 2943 1909 4308 4214
263,4224 4328 3993 4134 4162 4133 3254 3856 4518 4286
264,4309 4361 3467 4332 4523 2202 4219 4234 4520 1909
265,4219 2646 4387 1966 4384 2865 4400 4395 4389 1958
266,4451 2698 4214 4234 3995 4219 1909 4361 4366 4308
267,4219 4400 1966 2865 4387 2646 2831 4234 4361 4403
268,4234 1909 4396 4328 4286 4308 4424 2646 4400 4320
269,4214 2698 4308 4451 4234 4361 4366 4276 1951 4219
270,4234 4219 2646 4320 4361 4286 1951 4308 4384 4403
271,4328 1909 4396 4234 1907 4286 4308 4219 4362 3889
272,4219 2646 2865 1966 4387 4384 4400 4218 1958 4234
273,1951 3467 4532 4234 4328 4320 4214 4366 4308 4135
274,4396 4308 4328 1909 4234 4387 2943 4219 4356 4214
275,4219 2646 4361 4234 4384 4440 1951 4389 1909 2865
276,4219 4387 4400 2865 2646 4384 1966 1958 4234 4361
277,4451 4214 2698 4276 4440 2405 4307 4219 4361 4234
278,4328 4396 1907 4286 4234 1909 2511 3467 4308 4361
279,4328 4396 4286 4234 1907 1909 3467 4403 4219 2095
280,4219 1909 4358 4400 4387 1966 4440 2646 4361 4234
281,4219 4440 4361 4389 2646 2943 4384 2865 3565 3149
282,4219 2646 4234 4361 4308 4384 2865 1966 4400 4214
283,4328 4308 4234 4219 1951 2646 3265 1909 4396 4214
284,4440 2222 2661 3932 3254 4389 2204 3128 4008 2886
285,2698 4214 3995 4234 4308 1951 1909 4396 4219 3467
286,1909 4328 4234 4396 1907 4308 4361 4286 1951 2646
287,4328 4256 1951 4224 3862 4314 4296 4234 4433 4396
288,2646 2948 4214 4219 4320 3128 4287 3643 1951 3254
289,4308 4219 4234 4361 1951 3843 2646 4400 1960 4009
290,4219 4234 4308 1951 2646 4286 4133 4050 4361 1907
291,4219 2646 4384 4400 4387 1966 1958 4395 2865 2408
292,4219 4400 4361 2865 2646 4403 1966 4234 4384 4387
293,4219 4389 2646 4308 4384 3565 4440 4234 4361 4214
294,4395 2646 4219 4389 4387 4214 4384 1966 4424 4400
295,4219 4400 2865 1966 2646 4384 4387 2964 4234 2831
296,1951 4308 4234 4219 2646 4214 4328 4320 2698 4286
297,4308 4219 4234 4396 2646 1909 4328 4384 2943 1951
298,4219 2865 2646 1966 4400 3844 4384 4361 4395 4424
299,4361 2943 1966 4219 2865 4384 4400 4234 2646 2037
300,4308 4234 4396 1909 4219 2646 4328 1951 4408 4387
301,4219 2646 4308 4234 4361 2865 1951 4384 1966 4440
302,4307 4134 4224 4440 2222 4266 3862 2968 2695 4433
303,4328 4396 4286 4234 1909 1907 4308 4361 3467 4219
304,4219 2646 4234 4361 4214 3467 4384 2698 3015 4389
305,4308 4234 4396 4214 4328 2698 1951 4286 2968 2795
306,4328 4234 1909 4219 4308 4396 1951 4361 4286 4009
307,4307 4328 3784 4354 2222 1909 4239 4134 4234 3993
308,1951 4286 4328 3467 4234 4396 4214 4218 4403 4320
309,4440 2894 2886 2220 4219 2968 2663 2204 4234 4389
310,1951 4214 4396 4328 4234 4286 4308 4532 2251 3467
311,4219 2865 2646 1966 4400 4384 4234 2831 4218 4332
312,4234 4308 4396 2698 4328 4219 2646 1951 4214 1909
313,1951 4234 4214 4308 4219 1909 4396 4328 3467 4133
314,4308 4396 4214 4234 4219 4328 1909 2511 1899 1951
315,1951 4214 3467 4234 4308 3128 4320 4219 2646 2698
316,4219 4400 4387 2646 4403 4361 1966 4234 4396 1958
317,1909 4234 4308 4328 4396 4286 1907 4219 4400 1918
318,4219 2646 4387 1966 4384 4400 2865 1958 4389 3056
319,4234 1909 4286 1951 4396 4308 4328 2698 4214 3467
320,4219 4361 4384 2646 4234 4233 4313 2943 4308 4387
321,4328 4396 4286 4234 1907 1909 3467 4403 4308 2095
322,4400 4387 1909 2831 4308 1907 4361 4219 1958 4396
323,4219 4400 1966 4384 2646 2865 2831 4387 2886 4234
324,4219 2865 1966 2646 4387 4400 1958 2831 4384 4009
325,4219 4400 4384 2646 1966 2865 4387 4395 4440 1958
326,4328 4396 4286 1907 1909 4234 3436 3467 4308 3583
327,4219 2646 4361 4384 4234 4389 4440 3843 4308 4285
328,1909 4009 4308 2511 4234 4219 2646 3843 4214 3051
329,4400 4219 1966 2646 4387 4384 2865 4358 4440 4361
330,1951 4214 4308 3467 4320 3128 4219 2646 4532 4286
331,4219 2646 4384 4389 4440 3565 2865 4361 4234 4308
332,4214 1951 4234 4451 2698 4308 4361 4219 1909 4328
333,1951 4234 4308 4214 2698 4219 4320 3467 2908 4361
334,4214 2698 4219 4400 4308 4451 2665 4403 4009 2646
335,1951 1899 3128 4308 4214 4396 4286 4328 4234 1901
336,4328 4308 4234 4396 1909 4219 2646 1951 4286 4320
337,4234 4384 4400 4361 2646 4219 1966 4387 4308 2943
338,1951 4219 4234 4308 2698 3265 4214 2646 4286 4395
339,4214 2698 4308 4234 1951 4451 4286 4361 4219 2665
340,4224 4451 4234 4307 2948 4375 4214 4219 2698 3429
341,4219 4387 2646 4384 1966 4440 2865 4400 1958 4389
342,4361 1951 4234 4045 4364 4219 2646 4328 4050 2698
343,4219 4440 2646 4234 4361 2865 4389 4387 1958 4009
344,4219 2646 4234 4389 4308 4361 4384 4214 1951 4440
345,4219 4440 2646 4361 4389 4400 4234 2865 4384 1966
346,4445 4291 4219 3442 4387 4308 3467 4234 4328 1909
347,4219 4400 4387 1958 2646 4403 4384 4361 1966 4234
348,4395 4219 4440 4389 4384 4214 2646 4387 3843 2511
349,4219 4361 2646 4440 2943 4384 4389 1966 2865 4400
350,4219 2865 1966 2646 4400 4384 2696 4234 4361 3470
351,1966 4400 4219 2646 4234 2865 4403 4387 4361 2964
352,4214 4400 4234 4308 2698 4219 4451 1951 2865 4328
353,3147 4110 2062 3261 2060 4332 4219 4285 4411 4109
354,4396 1909 4308 4234 4328 4286 1899 4249 4219 4433
355,4219 2646 4387 4384 4440 3132 4389 2865 2962 4400
356,4234 4328 1909 4396 4308 4286 2698 4214 2196 1958
357,4219 2646 4234 4361 4328 1951 1909 4308 3565 3564
358,4219 4234 2646 4361 1951 4328 1909 4396 4308 4384
359,4219 4400 2865 2646 1966 4384 4403 2831 4234 4308
360,1951 4328 4234 4320 4308 4219 4286 4214 4396 4290
361,2665 4214 4395 4451 4269 4219 2698 2646 4424 1958
362,4234 1951 4361 4219 4384 4400 2646 2865 4308 4387
363,4219 2865 1966 2646 4400 4384 4361 4218 4406 4234
364,4328 1907 1909 4396 4234 4286 4308 1951 4361 4219
365,4440 4287 2663 2968 2415 4396 3128 4307 2202 2896
366,4219 4361 4234 2646 2865 4400 1966 4403 4384 4387
367,4219 1966 4384 4361 2646 4440 4234 4328 1909 4308
368,4234 4308 2698 1951 1909 1910 4219 4214 2646 4331
369,4328 4234 4396 1909 4308 4286 1951 4361 1899 4134
370,4234 1951 2646 4308 1909 4219 1907 2698 4328 4286
371,4451 4440 3254 2511 2886 4219 2222 3862 2243 3128
372,4396 1909 4234 4328 4308 1951 4400 4387 2646 4219
373,4234 4308 1909 1951 4424 4219 2646 4214 4395 4328
374,4219 4400 2646 4234 1966 2865 4361 4308 4387 4403
375,1951 3467 4234 4320 4308 1966 4214 2646 4010 4361
376,4219 2865 1966 2646 4400 4384 1958 4387 4218 2831
377,4219 2646 4234 4308 4361 1951 4384 4286 4400 2037
378,4234 4308 4328 4396 4219 1909 3467 1951 4214 3265
379,4440 4219 4384 4389 2511 3565 4361 2646 2865 4387
380,4219 2646 4400 4403 2865 1966 4384 4361 4234 2831
381,4219 4400 2646 1966 2865 4361 4384 4387 4234 4403
382,4286 4328 1909 4234 4396 3419 4361 4219 4400 4308
383,2202 4433 3862 4242 2928 4318 3254 4249 4234 4440
384,4234 1909 3467 4219 4361 2646 4214 1951 4308 4204
385,1951 3467 4214 4219 2646 4320 4532 4308 4234 3128
386,4219 4384 1966 4400 2865 2646 4440 4387 2831 3470
387,1951 3467 4308 4214 4234 4320 2698 4396 4361 4328
388,4389 4440 4219 2646 4361 4384 2865 3565 4234 4387
389,4234 1951 2698 4308 1907 4361 4214 4403 4286 4219
390,4371 4318 4234 4328 4178 4308 4423 2910 4372 4364
391,4234 1909 4396 4328 4361 4308 2698 4286 1951 4219
392,4234 1909 4328 4396 4308 4286 2646 1951 2698 4361
393,4219 2646 4308 1951 4234 4384 4440 4214 4389 4408
394,1951 3467 2948 4214 3128 4328 4387 4234 4320 4321
395,4440 4395 4276 4389 3128 2222 4219 2220 2646 2095
396,4219 4384 2646 4214 4389 4395 3565 4308 4205 2943
397,1951 4361 4234 2698 4219 4308 2646 4214 4387 2865
398,4395 4424 4234 4361 1909 4454 4214 4219 2665 2646
399,4219 2646 4384 4400 1966 2865 4440 4389 4395 2831
400,4395 4214 4219 4389 2646 4440 4338 4424 4384 2064
401,4400 4219 4387 2646 2865 2831 1966 4384 4234 1958
402,4451 4214 2698 4395 4440 2665 4219 3478 2646 2661
403,4219 2865 1966 2646 4384 4400 3844 4361 2831 2696
404,4219 2865 1966 4400 2646 4384 4395 4234 3470 4361
405,4328 4286 1909 4308 4234 4396 4243 1951 4214 4361
406,4219 4400 4384 2646 4387 2865 1966 2831 4234 4389
407,4328 4286 4396 4234 4308 1909 1907 4320 3436 4219
408,4234 4361 2646 1909 4219 4328 4308 4396 1958 2943
409,1909 4234 4396 4286 4328 4308 1951 1899 1907 1958
410,4219 4234 4308 2646 4361 4403 1951 4400 1907 3467
411,4400 4403 4361 2646 4234 4387 4219 2511 4009 4308
412,4219 2646 4395 4214 4389 4440 3565 4308 4424 1951
413,4328 1909 4396 4234 4308 4286 1910 4400 4134 3889
414,4364 3128 4232 4440 4372 3254 2948 2794 2663 2908
415,4328 4234 4396 1909 4308 4286 1951 1907 4400 1910
416,4219 4400 4387 2646 4440 4384 2865 1958 1966 2831
417,3147 4451 4219 4214 4395 2062 3261 4400 2698 4440
418,1909 4234 1907 4328 4286 4396 1951 4219 4308 2698
419,4219 4400 4387 2646 2865 4384 3078 1966 3470 4313
420,4219 2646 1966 4440 4384 4361 2865 4234 4400 4387
421,4400 2865 2646 4219 1966 4403 4234 4387 4308 4384
422,4308 4234 4219 4396 2646 4328 1909 1951 1958 4361
423,4440 4219 4389 2646 4384 1966 2865 4387 4394 1958
424,4361 4219 2646 2865 4234 4400 4308 1958 1966 4387
425,1951 4234 2943 2646 4219 2698 4214 4308 4384 1958
426,4440 4219 2646 4389 4384 2865 4387 4361 2962 3261
427,1951 4396 4234 4214 4286 4328 4320 3467 4319 2698
428,4234 4308 1909 4214 4395 1951 2646 4424 4320 4328
429,1951 4234 1907 4396 4328 4286 3467 4308 4214 4219
430,4219 2646 4387 4400 2865 1966 4384 1958 4234 4308
431,4219 2865 1966 2646 4384 4400 4361 4406 4234 2831
432,1951 4234 4219 3467 4308 4320 4009 4214 2646 2943
433,4219 1951 4234 4328 2646 4361 1909 4308 4214 3467
434,4396 2511 4009 4219 4308 3843 1909 3265 4387 4234
435,4219 2646 4234 4361 2865 4400 1951 4403 4286 4308
436,4308 4400 4234 4219 4403 4396 4387 1909 4532 1958
437,4219 2646 4387 2865 4384 4400 1966 4395 1958 4308
