query_id,answer
91,4308 4219 4234 4214 2646 2511 4396 4387 4133 1951
92,4234 1951 4328 4214 4219 4286 4218 3467 1909 2698
93,4387 4219 2646 4384 4400 2865 4308 4395 1958 4285
94,3147 3261 4110 4451 2062 3260 4411 4219 4387 4214
95,1951 3467 4328 4234 4214 4286 4308 4396 4320 1909
96,4219 4400 1958 4384 4387 1966 2646 4234 2865 2831
97,2646 1966 4400 4403 4219 4387 1958 2865 4234 4308
98,1951 4234 4214 4328 4396 4308 3467 4219 4320 2949
99,4219 2646 4387 4400 4361 4234 1958 4384 4440 1966
100,4328 4396 4286 1951 4234 4214 4308 1907 2948 3467
101,4219 4400 2646 4384 1966 2865 4234 4361 2831 4308
102,4451 4214 2698 4219 4395 4361 2794 4243 3150 3995
103,4219 2646 4396 4389 4440 4308 4384 3565 4394 4234
104,4219 4384 4400 2646 2865 1966 4387 4389 4440 1958
105,4219 2646 4384 4308 4440 1966 4395 4234 4361 4400
106,4219 2646 4361 4234 4389 4440 4384 2831 4395 4308
107,1909 4234 4286 4328 4396 4308 1907 4361 4219 3843
108,4219 1951 2646 4234 4308 4389 4400 4384 4286 4361
109,4361 4219 2646 4234 4328 4308 4384 1909 4396 1966
110,4219 4308 2646 4328 4384 4234 4400 4361 2511 4389
111,4219 4361 2646 4234 4384 4308 4440 4389 2865 4233
112,4219 4400 2646 2865 1966 4384 4440 4389 2831 3932
113,1951 4219 4234 4214 2646 4328 4396 4308 1909 3265
114,4395 4219 2646 2865 4214 4389 4440 4387 4384 4234
115,4395 4424 4451 4454 4214 1909 4234 2949 2665 2698
116,4219 2646 4389 4308 4384 4361 4440 4400 4403 2943
117,1909 4234 4396 4328 4286 1958 1907 4308 1951 1899
118,4219 4440 2646 4389 4395 4384 3565 4285 3843 4361
119,4219 4308 2646 4234 4328 1951 4214 4384 1966 4396
120,4219 4440 2646 4361 2943 4389 4384 1966 4234 2171
121,4219 4440 2646 4384 2865 4389 1966 4400 3078 4313
122,4451 2698 4214 4234 1951 4286 4395 3478 2095 4219
123,4219 2646 4400 4361 4234 2865 1966 4384 4308 4387
124,1909 4400 4396 4219 4328 4361 4308 4234 4286 4387
125,4219 4440 4384 4387 2646 1958 2865 4361 4389 2663
126,4328 4234 1951 1909 4396 4308 1907 4286 4361 4045
127,4361 4219 2646 4234 4384 1966 2865 4308 4214 4400
128,4219 2646 4400 1966 4384 2865 4361 4234 2831 2943
129,4219 4400 4234 4308 4328 4286 4396 1907 2646 1909
130,4219 4234 2646 1951 4361 2865 4308 4400 4384 1966
131,4440 4384 3128 4219 2894 4389 3254 2886 4202 4395
132,4234 3261 4332 3147 2068 2646 3129 4292 4419 4274
133,4234 4308 1951 4361 4214 1958 4403 2646 2698 4387
134,4328 4234 1909 4308 4396 4219 4286 4178 4133 3889
135,4387 4219 2646 4384 4400 1958 2865 4395 4361 4285
136,4219 2646 1966 4384 4400 2865 4361 3470 4234 2696
137,4308 1909 4219 4234 4361 2646 4214 4396 2698 2943
138,3147 3261 4205 2062 2060 4110 2061 4440 4127 2857
139,4219 2646 4308 4234 1951 4214 4384 4328 4396 2943
140,4395 4219 4389 2646 2865 4214 4384 1966 4440 4387
141,4234 1909 4387 4328 4219 3995 4308 1907 4214 4361
142,4219 2865 2646 1966 4384 4400 4387 4361 4218 1958
143,1951 4308 4234 4219 4320 4214 2646 3861 3467 4361
144,4219 4389 2646 4440 4361 3565 4234 4396 4308 4384
145,4234 4214 2698 4286 1951 4396 4308 4362 1901 4328
146,4219 4286 1951 2646 4234 4387 1958 4214 4361 3265
147,4219 2646 4387 1966 4384 4440 1958 2865 4400 4389
148,4219 2865 2646 1966 4384 4400 4234 4361 2831 3844
149,4219 2646 2865 4400 4361 4384 1966 1958 4234 2831
150,4219 4283 4134 4234 4127 4445 4321 4328 4214 4286
151,2646 4400 4219 2865 1966 4384 4403 4361 2831 4387
152,4219 4387 2646 4361 4384 1966 4440 1958 2865 4308
153,1907 4328 4234 3467 4286 4396 4400 1909 4308 4361
154,4328 4396 4286 4234 1909 1907 3467 4308 4400 3436
155,4400 4403 2646 4219 1966 4234 2865 4387 4308 1958
156,2865 4219 1966 2646 4400 4384 4403 4234 4387 4308
157,4219 4400 4384 2646 1966 2865 4440 4387 2831 4361
158,1951 4214 4234 4286 2665 2698 3467 4320 4328 4308
159,4219 2646 4384 1966 4400 2865 4440 4361 1958 2943
160,1909 4234 4328 4396 4286 4308 4361 3889 4219 4400
161,2665 4214 2698 4219 1951 4234 2943 2511 4308 2646
162,4219 2865 1966 2646 4384 4400 4218 4361 4234 1951
163,1951 4234 4286 4328 4214 4396 2698 4308 4320 1909
164,4400 4234 4219 2646 2865 3006 1966 2795 4395 2661
165,4219 2646 1966 4440 4384 2865 4361 3470 3078 4389
166,4234 4308 1909 3467 1951 2698 4286 4214 4362 4219
167,4219 2865 4400 1966 2646 4387 4234 4384 4403 2831
168,1951 4234 4403 1907 2646 2698 4286 4532 4361 4219
169,4219 4400 2865 2646 1966 4234 4384 4361 4403 4387
170,4387 4219 1958 2646 4384 4400 2865 4361 4234 1966
171,4440 4219 4389 2646 4395 2222 4276 4384 2894 4008
172,4219 2646 4389 4384 4440 4308 4234 4361 4285 1951
173,4440 2886 2894 4389 3128 3254 4219 2646 4361 2696
174,1907 4234 1909 4214 4396 4328 4308 1951 2831 4403
175,4451 4214 4440 2698 4276 2095 4395 4209 2665 3314
176,4440 4219 2646 4389 4234 4361 4384 3565 4308 2943
177,1951 4214 4308 4219 2646 3128 4328 4320 4396 4234
178,1951 3467 4320 4234 4328 4308 2698 4321 3862 4214
179,4423 3028 4364 4232 4372 4318 4307 4234 4220 2914
180,4389 4219 2646 4308 4214 4384 4440 3565 4245 4344
181,4219 4389 2646 3565 4440 4308 4384 4285 3843 4234
182,4219 2646 1909 4389 4440 4234 4286 4384 2865 4361
183,1951 4214 4234 3467 4328 4320 2698 3861 4286 4308
184,4219 2865 1966 2646 4400 4361 4384 4234 4406 3844
185,1951 4214 4308 4234 3128 2698 3467 4328 4320 4286
186,4440 4389 3254 4219 2886 4395 2894 4384 3128 2198
187,4400 4219 2831 4384 2646 2865 4234 4403 1966 4308
188,4219 4400 4234 2865 2646 4387 4361 1966 2831 4384
189,4219 4400 2646 2865 4234 4387 4384 1966 2831 4009
190,4361 4219 1951 4234 4204 4214 3467 2095 3580 4276
191,1951 4234 4214 2698 4532 4219 4400 4328 4361 2646
192,4328 4286 4396 4234 4387 4219 1909 1951 2646 1907
193,4403 4400 4219 1958 4387 2646 1966 4234 4384 2865
194,1951 3467 4234 1907 4286 4328 4396 4320 4308 4214
195,4395 4219 4214 2646 4389 4387 4424 2105 2665 3026
196,4219 4387 4384 2646 4400 4361 2865 1966 1958 4257
197,4219 4389 2646 3565 4384 4440 4361 4308 4307 2943
198,1951 4214 4234 3128 3467 4320 4286 2698 4361 2075
199,4219 4361 2646 4234 2865 1966 4384 3844 4387 4406
200,4219 1966 4400 2646 2865 4384 4440 4395 4387 4403
201,4400 4219 2865 2646 4387 1958 4403 4384 2204 2203
202,4219 2646 4440 4389 4384 3565 4396 4308 4361 2943
203,4219 4384 2646 4387 1966 4440 4400 4395 2865 1958
204,1909 4234 4328 4396 4286 4308 4320 4219 2646 1951
205,4234 4219 4361 2646 4440 1951 2865 2943 4384 4214
206,4308 4361 4219 4403 2646 4234 4387 2943 4396 4389
207,4219 2646 4214 4395 2665 4424 4389 2943 3026 2511
208,4219 4387 2865 2646 4384 4440 4400 1958 1909 2511
209,1951 4234 2943 4214 2646 4219 2866 4286 4361 4308
210,4234 1909 4361 4219 4400 4328 2943 2646 1951 2831
211,4219 2646 4384 1966 4400 2865 4361 4387 4005 4234
212,4328 4286 1951 4234 4396 4214 1907 2698 1909 2949
213,4219 4440 4389 3565 2646 4384 1966 4308 2865 4313
214,4395 4219 2646 4384 2865 4214 4400 1966 4424 4389
215,4234 4328 1909 4219 4396 4286 4308 4361 4403 4400
216,4440 4332 2255 2695 2661 2222 4234 4389 3128 4451
217,4214 2698 4451 4219 2646 4366 4308 2665 4234 4361
218,4219 2646 4440 4384 4389 4361 4387 4403 4009 2944
219,4219 2646 4389 4308 4384 4400 4361 3565 4234 4440
220,4440 4389 4395 3254 4219 2222 3128 4276 2886 2894
221,4389 3565 4440 4219 2646 4384 4308 4396 4285 2943
222,1951 4234 3467 4328 4286 1907 1909 4396 4320 2698
223,4219 2646 4389 4308 4440 4384 3565 4234 4257 4285
224,4400 4219 4387 4384 1966 2646 2865 2831 4234 2062
225,4219 4440 4361 2646 4318 4364 4307 4308 4371 4309
226,4372 4234 2908 4423 4318 3932 4307 2204 4237 4364
227,4328 4286 4396 1909 4234 1907 3467 1951 4308 3436
228,4219 2646 4400 2865 1966 2831 4384 4234 4361 4403
229,4219 2646 1966 4387 1958 4384 2865 4361 4400 4440
230,4400 4387 4219 4234 1958 2865 4361 2646 4384 1966
231,4328 4234 4396 1951 4219 4286 4308 1909 1907 4362
232,4219 4387 2646 4384 2865 1966 4400 4234 4403 1958
233,1951 4234 4214 2698 4532 3995 3467 4396 3128 3643
234,4308 4219 4387 2646 4361 4234 4396 4403 4440 4384
235,4219 4387 4384 2646 2865 1966 4361 1958 4400 3088
236,4219 2646 4400 2865 1966 4361 4387 4384 2943 3168
237,1909 4396 3265 4219 4234 2646 4308 4328 1951 1958
238,4328 4234 4396 4286 1909 4400 4308 1951 4321 4133
239,4423 4364 4232 4318 3028 4372 4307 2937 4363 3737
240,4328 4286 4396 4234 1907 1951 3128 4387 1901 4214
241,4396 1907 4234 4328 1951 4286 4308 4219 1909 3467
242,4234 4308 4219 4328 4214 4396 2698 3467 1909 4286
243,4219 4361 4384 4440 4395 4387 4389 3844 4406 1966
244,1951 4320 4214 3467 4308 4234 4409 2244 3128 4328
245,4219 4387 2646 4384 2865 1966 4395 1958 4400 4234
246,4219 2865 4400 2646 1966 4384 4234 2831 4403 4361
247,4219 2646 4387 4384 2865 4361 1966 2943 4400 2521
248,4440 3254 4005 2222 2695 2886 2894 2661 4283 2243
249,4219 1966 4384 2646 4387 2865 4400 4361 3470 3078
250,1951 4308 4234 4214 4219 3467 2646 3128 4320 4286
251,4219 4400 4384 4328 4387 2646 1966 2865 4286 4396
252,4440 3254 2894 2886 4389 4219 2892 2646 4332 4395
253,4328 4396 1909 4234 4286 4308 4219 4331 2943 1873
254,1951 4214 3467 4219 4361 4234 4328 4320 3261 4205
255,1909 4219 4328 4308 4400 1958 4234 4387 4403 2646
256,4219 4400 2646 2865 1966 4384 4361 4387 4403 4308
257,4328 4234 4286 4224 3995 2295 4276 2670 2197 2251
258,4234 4308 1909 4328 4214 4320 2665 2646 1951 2698
259,4219 2865 4400 2646 4384 1966 4234 4403 4387 2943
260,1951 4234 3467 4328 1909 4286 4320 4214 4361 4218
261,4219 4400 4387 2646 4384 2865 1966 4361 1958 2511
262,4234 1951 4286 4396 4328 4361 4308 4214 1909 2943
263,4224 3993 4328 4134 4133 4286 4162 3254 3856 4518
264,4309 4361 3467 4332 4523 2202 4219 4234 4520 1909
265,4219 4384 2646 4387 1966 4395 2865 1958 4400 4389
266,4451 4214 2698 4234 3995 1909 4308 4219 4361 4366
267,4400 4219 2865 4387 1966 2646 4403 2831 4234 4361
268,4234 1909 4328 4396 4286 4308 4424 2646 4320 4400
269,4214 2698 4308 4451 4234 4361 4366 4276 1951 4219
270,4234 4219 2646 4403 4361 4286 4320 1951 4308 4384
271,4328 1909 4396 4234 1907 4219 4308 4286 3889 4362
272,4219 2646 4384 4387 2865 1966 4400 4218 4234 1958
273,1951 3467 4328 4234 4320 4308 4214 4532 4366 4135
274,4396 4328 1909 4308 4234 4219 4387 4214 2943 4356
275,4219 2646 4361 2865 4384 1951 4234 1909 4440 4389
276,4219 4387 2646 4400 2865 4384 1966 4234 1958 4361
277,4451 4214 2698 4440 4234 4276 4307 4361 2405 4219
278,4328 4396 1907 4234 4286 3467 1909 4361 4308 2511
279,4328 4396 4286 1909 4219 4234 1907 3467 2095 4403
280,4219 1909 4358 4400 4387 1966 4440 2646 4361 4234
281,4219 4389 4440 4361 2646 4384 3565 2865 2943 3149
282,4219 2646 4234 4361 4384 4308 4400 1966 4214 2865
283,4328 4234 4308 4219 1951 4214 2646 1909 4396 3265
284,4440 2222 4389 3932 3254 2204 3128 2886 2661 4008
285,2698 4234 4214 3995 4308 1951 4219 1909 4396 3467
286,4328 1909 4234 1907 4396 4286 4308 1951 4361 2646
287,4328 1951 4234 4224 4256 4396 3862 4314 4296 4433
288,2646 1951 4214 4219 2948 3128 3254 4320 4287 3643
289,4234 4308 4219 4400 1951 4361 2646 3843 4009 1960
290,4234 4219 4308 1907 1951 2646 4286 4361 4133 4050
291,4219 2646 4400 4384 1966 4387 1958 2865 4395 2408
292,4219 4400 4361 2646 2865 4403 4387 4234 4384 1966
293,4219 2646 4389 4308 4384 4440 4214 4361 4234 3565
294,2646 4395 4219 4387 4389 4384 4214 4400 4424 1966
295,4219 4400 2865 1966 4387 4384 2646 4234 2831 2964
296,1951 4308 4219 4234 4214 4328 2646 2698 4286 4320
297,4308 4219 4234 4396 2646 4384 4328 1909 1951 2943
298,4219 2865 1966 2646 4400 4384 4361 4395 4424 3844
299,4361 4219 1966 2943 2865 4384 4400 4234 2646 2037
300,4308 4234 4396 1909 4219 2646 4328 1951 4408 4387
301,4219 2646 4308 4234 4361 2865 1951 4384 1966 4440
302,4307 4134 4224 4440 2222 4266 3862 2968 2695 4433
303,4328 4396 4286 4234 1909 1907 4308 4361 3467 4219
304,4219 2646 4234 4361 3467 4389 4214 4384 2698 3015
305,4234 4308 4328 4396 4214 1951 2698 4286 2968 2795
306,4328 4234 1909 4219 1951 4286 4308 4396 4361 4009
307,4307 4328 3784 4354 2222 1909 4239 4134 4234 3993
308,1951 4286 4234 4328 3467 4396 4214 4320 4218 4403
309,4440 2894 2886 4219 4234 4389 2220 2968 2663 2204
310,1951 4396 4214 4328 4286 4234 4308 3467 4532 2251
311,4219 2646 2865 1966 4400 4384 4332 4234 2831 4218
312,4234 4308 4396 2698 4328 4219 2646 1951 4214 1909
313,1951 4234 4214 4219 4308 4396 4328 1909 3467 4133
314,4308 4396 4234 4214 4328 1951 4219 1909 1899 2511
315,1951 4214 4234 3467 4308 2646 4219 3128 4320 2698
316,4219 4400 2646 4387 4403 4234 4361 1966 4396 1958
317,1909 4328 4234 4308 4396 4286 1907 4400 4219 1918
318,4219 4384 2646 4387 1966 4400 2865 4389 1958 3056
319,4234 1909 4286 1951 4396 4308 4328 2698 4214 3467
320,4219 4384 4361 2646 4387 4234 4308 2943 4233 4313
321,4328 4396 4286 4234 1909 1907 3467 4308 4403 2095
322,4400 4387 1909 2831 4308 1907 4361 4219 1958 4396
323,4400 4219 1966 4384 2646 4234 2865 4387 2886 2831
324,4219 2865 1966 2646 4387 4400 1958 2831 4384 4009
325,4219 4400 4384 1966 2646 4387 1958 4440 4395 2865
326,4328 4396 4286 4234 1909 3467 4308 1907 3436 3583
327,4219 2646 4361 4384 4389 4234 4440 4285 3843 4308
328,1909 4219 4234 4009 2646 4308 2511 3843 4214 3051
329,4219 4400 4387 1966 2646 4384 2865 4440 4358 4361
330,1951 4214 4308 2646 3467 4219 3128 4320 4532 4286
331,4219 2646 4389 4384 4440 2865 3565 4361 4308 4234
332,4214 1951 4234 4451 2698 4308 1909 4361 4328 4219
333,1951 4234 4308 4214 2698 4219 3467 4320 2908 4361
334,4214 2698 4219 4400 4308 4451 2665 4403 2646 4009
335,1951 1899 3128 4308 4214 4396 4286 4328 4234 1901
336,4328 4234 4308 1909 4396 4219 1951 2646 4286 4320
337,4234 4400 4361 4219 4384 2646 1966 4387 4308 2943
338,4219 1951 4234 4214 2698 4308 2646 4286 3265 4395
339,4214 2698 4308 4234 1951 4451 4286 4361 4219 2665
340,4224 4234 4451 4307 4219 2948 4214 2698 4375 3429
341,4219 2646 4387 4384 1966 4440 2865 4400 1958 4389
342,4361 1951 4234 4045 4364 4219 2646 4328 4050 2698
343,4219 2646 4440 4361 4234 4387 4009 2865 1958 4389
344,4219 4234 2646 4308 4361 4389 1951 4214 4440 4384
345,4219 4440 2646 4400 4389 4361 2865 4234 4384 1966
346,4445 4291 4219 3442 4387 4308 3467 4234 4328 1909
347,4219 4400 4387 2646 1958 4403 4384 4361 4234 1966
348,4395 4219 4440 4384 4214 4389 2646 4387 3843 2511
349,4219 2646 4361 4384 4440 1966 2865 4400 2943 4389
350,4219 2865 1966 2646 4400 4384 4361 2696 4234 3470
351,1966 4234 4400 4219 2646 4403 4361 2865 4387 2964
352,4214 4400 4234 4308 2698 4219 4451 1951 2865 4328
353,3147 4110 2062 3261 2060 4332 4219 4285 4411 4109
354,4396 4328 1909 4308 4234 4286 1899 4433 4249 4219
355,4219 2646 4440 4387 4384 4389 4400 3132 2865 2962
356,4234 4328 1909 4396 4286 1958 4308 2698 4214 2196
357,4219 4234 2646 4328 1909 4361 1951 4308 3565 3564
358,4219 4234 2646 4361 1951 4328 1909 4396 4308 4384
359,4219 4400 2865 1966 2646 4234 4384 4403 2831 4308
360,1951 4328 4234 4214 4308 4219 4320 4396 4286 4290
361,2665 4214 4395 4451 4219 2646 1958 2698 4269 4424
362,1951 4234 4384 4361 4219 4400 4387 2646 2865 4308
363,4219 2865 1966 2646 4384 4400 4361 4218 4234 4406
364,4328 1907 1909 4234 4396 4286 1951 4308 4361 4219
365,4440 4287 2663 2968 2415 4396 3128 4307 2202 2896
366,4361 4219 4400 4234 2865 2646 4403 1966 4384 4387
367,4219 4384 1966 4328 4361 4440 4234 2646 1909 4308
368,4234 4308 2698 1951 1909 1910 4219 4214 2646 4331
369,4328 4234 1909 4396 4308 1951 4286 4361 1899 4134
370,4234 1951 2646 4308 4286 1909 1907 4328 2698 4219
371,4451 4440 3254 2886 4219 2222 3862 3128 2511 2243
372,4396 4234 1909 4328 1951 2646 4387 4219 4308 4400
373,4234 4308 1909 4219 1951 4214 2646 4424 4395 4328
374,4219 4400 4234 2646 2865 1966 4361 4308 4403 4387
375,1951 3467 4234 4320 4308 1966 4214 2646 4010 4361
376,4219 2865 2646 1966 4400 4384 4218 4387 1958 2831
377,4219 2646 4234 4361 4308 1951 4286 4400 4384 2037
378,4234 4308 4328 1951 4396 1909 4214 3467 4219 3265
379,4440 4219 4384 4389 2511 3565 4361 2646 2865 4387
380,4219 2646 4400 1966 2865 4403 4384 4361 4234 2831
381,4219 4400 2646 1966 4361 2865 4384 4234 4387 4403
382,4286 4328 1909 4234 4396 3419 4361 4219 4400 4308
383,2202 4433 3862 4242 2928 4318 3254 4249 4234 4440
384,4234 1909 3467 1951 4219 4361 4214 4308 2646 4204
385,1951 4214 3467 4219 2646 4308 4234 4320 3128 4532
386,4219 4384 1966 4400 2865 2646 4387 4440 2831 3470
387,1951 3467 4234 4214 4308 2698 4320 4396 4328 4361
388,4219 4389 4440 2646 4361 4234 4384 2865 4387 3565
389,4234 1951 1907 2698 4403 4308 4214 4361 4219 4286
390,4371 4318 4234 4328 4178 4308 4423 2910 4372 4364
391,4234 4396 1909 4361 4328 4308 4286 1951 2698 4219
392,4234 4328 1909 4396 4308 4286 4361 1951 2646 2698
393,4219 2646 4308 1951 4214 4234 4440 4389 4384 4408
394,1951 3467 4214 4328 4234 2948 3128 4387 4320 4321
395,4440 4395 4276 4389 3128 2222 4219 2220 2646 2095
396,4219 4384 4389 2646 4214 4395 3565 2943 4308 4205
397,1951 4234 4214 4361 2698 4219 2646 4308 4387 2865
398,4395 4361 4234 4424 4219 1909 2646 4214 2665 4454
399,4219 2646 4384 4400 2865 1966 4440 4389 4395 2831
400,4395 4214 4219 2646 4440 4389 4384 4424 4338 2064
401,4400 4219 1966 4387 2865 4234 2646 2831 4384 1958
402,4214 4451 2698 4395 4440 2665 4219 2646 2661 3478
403,4219 2865 1966 2646 4384 4400 4361 2831 3844 2696
404,4219 2865 1966 4400 2646 4384 4234 4361 4395 3470
405,4328 4286 1909 4308 4234 4396 4243 1951 4214 4361
406,4219 4387 4400 4384 2646 2865 1966 4234 2831 4389
407,4328 4286 4396 4234 4308 4219 4320 1909 1907 3436
408,4234 4361 2646 1909 4219 4328 4308 4396 1958 2943
409,1909 4234 4396 4328 4286 1958 1907 4308 1951 1899
410,4219 4234 4308 4403 4361 2646 1907 1951 4400 3467
411,4400 4361 4403 2646 2511 4234 4009 4219 4387 4308
412,4219 2646 4395 4214 4440 4308 1951 4424 4389 3565
413,4328 1909 4308 4396 4234 4286 4134 3889 1910 4400
414,4440 4364 3128 3254 4232 4372 2908 2948 2794 2663
415,4328 1951 4234 4396 1909 4308 4286 1907 4400 1910
416,4219 4400 4387 2646 4440 4384 2865 1958 1966 2831
417,3147 4451 4219 4214 4395 2062 3261 4400 2698 4440
418,1909 4234 4328 1907 1951 4396 4286 4308 4219 2698
419,4219 4400 4387 2646 4384 2865 1966 3078 3470 4313
420,4219 2646 4384 1966 4234 4361 4440 4387 2865 4400
421,4400 2865 2646 4219 1966 4403 4234 4387 4308 4384
422,4308 4219 4234 1951 2646 4396 4328 4361 1909 1958
423,4440 4219 2646 4384 4389 1966 1958 4387 2865 4394
424,4361 4219 2646 2865 4234 4400 4308 1958 1966 4387
425,1951 4234 4214 2646 2698 4219 4384 2943 4308 1958
426,4440 4219 2646 4384 4389 4387 2865 4361 3261 2962
427,1951 4234 4396 4214 4328 4286 3467 2698 4320 4319
428,4234 4308 1909 4328 4214 1951 4395 4424 2646 4320
429,1951 1907 4234 3467 4328 4396 4214 4308 4286 4219
430,4219 2646 4387 4400 2865 1958 4384 1966 4234 4308
431,4219 2865 1966 2646 4384 4361 4400 4234 4406 2831
432,1951 4234 4214 4219 3467 4308 2646 4009 4320 2943
433,1951 4219 4234 4328 2646 3467 4214 1909 4308 4361
434,4219 4396 2511 4387 4009 4308 3843 1909 3265 4234
435,4219 2646 4234 4361 2865 4400 4403 1951 4308 4286
436,4308 4400 4234 4219 4396 4403 4387 4532 1958 1909
437,4219 2646 2865 4384 4387 4308 1966 4395 4400 1958
